,function_value,cost,info,colsample_bylevel,colsample_bytree,eta,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample_per_it
795,0.032531824611032545,0.24237871170043945,"{'train_loss': 0.03205574912891984, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.8101952335683263,0.13938589615341418,0.14989436956867072,4,1.786878412531684,0.002324780350688774,0.006193154587424491,0.1683664003333794
796,0.13012729844413018,0.2927896976470947,"{'train_loss': 0.13170731707317074, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.3023359064558493,0.540642549073594,0.0018092294616848398,5,2.025929076439693,9.154764687266084,444.01016775081337,0.5558615630555663
797,0.3125884016973126,0.288071870803833,"{'train_loss': 0.3142857142857143, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.5486801697495036,0.9017752835598468,0.00940088685945008,14,94.10723413679911,0.050886618264368924,0.0017997426588639044,0.7866663177943689
798,0.03960396039603964,0.3561866283416748,"{'train_loss': 0.018815331010452963, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.49304227688715035,0.773123512248292,0.6991398150318981,14,2.575668626334337,0.26961147943202013,0.2835262560689078,0.362627392310908
799,0.4837340876944838,0.21612000465393066,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.8568028484694161,0.4265060670349399,0.0030215195370407234,13,23.41515859667983,127.45911064805549,116.17341117477085,0.548718199040275
800,0.057991513437057995,0.546226978302002,"{'train_loss': 0.0613240418118467, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.8895025700514321,0.9781015894263662,0.0017807796497727882,5,3.1906450138894744,0.00527940151708453,23.016790314282712,0.37158977246883906
801,0.4837340876944838,0.15945696830749512,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.1925405979440891,0.2582654251062722,0.06020549091261108,14,12.801908606161277,116.11587949125918,21.385212459291402,0.5051786757092783
802,0.03111739745403108,0.27251172065734863,"{'train_loss': 0.013937282229965153, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.5894949743488686,0.34027412655941874,0.6198103079630732,12,1.8848365605584356,0.2651452645016036,0.04565467040736714,0.3193903149938484
803,0.4837340876944838,0.2784292697906494,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.8992229955569657,0.954658502355293,0.0024683848792202163,10,4.0749501830290695,819.0169927680106,0.3354750966008661,0.609126895445898
804,0.4837340876944838,0.23287749290466309,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.4516560468440854,0.8106281947034368,0.034199592295490196,14,6.982151738332445,328.6283720370397,3.4605435815176446,0.9546693107085629
805,0.25318246110325315,0.38523316383361816,"{'train_loss': 0.2452961672473868, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.9226496224289772,0.9013366044655553,0.1118775244309722,12,30.840439494828537,0.27806376364380164,0.21505121382711714,0.29610798131299976
806,0.4837340876944838,0.13891839981079102,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.2862009815524012,0.021473693515796234,0.003213358357283362,7,79.20335002588266,0.0607238116354529,1.0863617949849893,0.49465148261775926
807,0.05940594059405946,0.3395247459411621,"{'train_loss': 0.05993031358885015, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6127428624518578,0.3859667887036548,0.0010558341390535723,5,8.000221388120345,0.020889585310870522,1.7495570064681316,0.7920469136572753
808,0.31824611032531824,0.18266630172729492,"{'train_loss': 0.32543554006968645, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6856291726691472,0.24316673704377062,0.4590843969959608,6,31.92807748465794,0.019980254811335613,89.5983403177835,0.2268389355369882
809,0.10325318246110327,0.16266989707946777,"{'train_loss': 0.10104529616724733, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.23592367601697928,0.3029757013685372,0.001246685005060713,1,1.963741762674839,41.49199972050217,22.620492267628975,0.9217933825557253
810,0.33804809052333806,0.1548018455505371,"{'train_loss': 0.32473867595818817, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.02362983743213963,0.7406155414398025,0.005817370227678434,6,1.6290439437104538,34.50777710515343,9.25199984969501,0.45474423055247404
811,0.4837340876944838,0.2030341625213623,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.42255672274698913,0.7268439964154334,0.08942613395262348,6,8.795509384694483,757.4803363034661,0.0016059898798785595,0.3927234171751812
812,0.19660537482319662,0.35881781578063965,"{'train_loss': 0.18675958188153308, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.9390970729381667,0.46718141609707087,0.007079333879476408,13,40.04481735391212,0.0030993801606369288,0.008418064193076353,0.6190561635216563
813,0.09476661951909482,0.2616159915924072,"{'train_loss': 0.0968641114982578, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.3495978287321025,0.3716217165950228,0.0010445345769970165,14,3.076536243578307,0.02066979093793048,212.38480092296732,0.32326323911633026
814,0.4837340876944838,0.22325372695922852,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.781946852527774,0.5888446968744805,0.05272088302853727,15,50.70055960425454,817.0149790883089,39.81119329187972,0.830730407452088
